词句	出现次数
	192
的	190
我	187
 	182
在	175
你	166
了	141
不	123
是	123
着	122
说	108
就	100
都	100
有	99
那	86
:	85
周杰伦	83
这	81
作曲	80
想	79
爱	78
作词	78
却	76
让	74
很	73
要	71
谁	70
再	69
会	67
对	66
我们	66
像	65
还	64
也	63
没有	63
去	61
人	60
上	60
给	56
走	54
被	52
跟	52
只	50
来	46
又	46
用	45
怎么	45
里	45
到	44
方文山	44
等	44
没	44
看	44
而	43
把	43
开始	42
回忆	42
才	41
多	41
将	41
什么	40
一个	40
听	40
微笑	40
知道	39
好	39
为	39
它	38
能	37
太	37
离开	37
过	36
不会	36
已	36
他	36
）	35
自己	35
（	34
笑	34
一直	34
不是	33
不要	33
已经	33
如果	32
世界	32
一起	32
故事	31
只是	31
叫	31
可以	30
因为	30
真的	30
不到	29
风	29
还是	29
时间	29
中	29
手	28
想要	28
当	26
后	26
得	26
但	26
不能	25
过去	25
我用	25
这样	25
梦	25
比	25
和	24
等待	24
一种	24
我会	23
别	23
啊	23
最后	23
爱情	23
画面	22
找	22
远方	22
到底	22
永远	22
看着	22
个	22
沉默	22
慢慢	22
吧	21
天	21
记得	21
一样	21
下	21
更	21
就是	21
眼泪	21
就算	21
一切	21
～	21
懂	21
一场	21
喜欢	21
感觉	20
写	20
雨	20
有点	20
温柔	20
脸	20
天空	20
哭	19
需要	19
快乐	19
现在	19
陪	19
无法	19
喔	18
她	18
继续	18
怕	18
为什么	18
笑容	18
请	18
一点	18
这个	18
不用	18
拿	18
音乐	18
跟着	17
从	17
只有	17
靠	17
一定	17
是否	17
小	17
开	17
与	17
安静	17
忘记	17
所有	17
唱	17
做	17
站	17
啦	17
声音	16
最	16
这么	16
还有	16
如	16
一	16
未来	16
不想	16
思念	16
表情	16
身边	16
打开	15
风景	15
别人	15
该	15
我要	15
(	15
放弃	15
决定	15
阳光	15
难过	15
你们	15
)	15
向	15
只能	14
这里	14
情绪	14
连	14
吃	14
温暖	14
回到	14
成	14
习惯	14
地方	14
他们	14
看到	14
模样	14
变成	14
看见	14
幸福	14
不了	13
